Proveedor;ID_Proveedor;int;4;0;Sí;
Proveedor;Nombre;nvarchar;200;1;;
Proveedor;Direccion;nvarchar;400;1;;
Proveedor;Ciudad;nvarchar;200;1;;
Proveedor;Telefono;nvarchar;100;1;;
Proveedor;Contacto;nvarchar;200;1;;
Proveedor;Email;nvarchar;200;1;;
Proveedor;CUIT;nvarchar;40;1;;
Proveedor;CUIT_Alternativo;nvarchar;40;1;;
Proveedor;Activo;bit;1;0;;
TipoProducto;ID_Tipo;int;4;0;Sí;
TipoProducto;Tipo_Prod;nvarchar;200;1;;
TipoProducto;Descripcion;nvarchar;510;1;;
Usuario;ID_Usuario;int;4;0;Sí;
Usuario;Nombre;nvarchar;200;1;;
Usuario;Email;nvarchar;200;1;;
Usuario;PasswordHash;nvarchar;510;1;;
Usuario;Rol;nvarchar;100;1;;
